id,latitude,longitude,building_type,replacement_value,year_built,deductible,deductible_pct,occupancy
PROP_000001,37.48280221850183,-121.32622330168756,masonry,207684.1435284984,2006,2076.84,0.01,residential
PROP_000002,35.97495297888423,-120.21686628369777,wood,70828.2148415877,1907,708.28,0.01,residential
PROP_000003,37.863690639601224,-121.13871583989028,masonry,296665.62940461584,1948,2966.66,0.01,residential
PROP_000004,37.138156130767136,-121.07348521155879,wood,345397.6956433526,1955,3453.98,0.01,residential
PROP_000005,34.423798065494424,-119.72960812351542,wood,34172.34086075089,1996,341.72,0.01,residential
PROP_000006,38.3903005823654,-120.39980330360335,rc,57426.22701037592,1915,574.26,0.01,residential
PROP_000007,37.42512865895659,-118.91881313956601,masonry,180281.05387114835,1952,1802.81,0.01,residential
PROP_000008,37.53728937374629,-120.6063618150974,masonry,126374.61705935358,1918,1263.75,0.01,residential
PROP_000009,34.576511347039954,-119.46669564052507,wood,160581.85218181432,1995,1605.82,0.01,residential
PROP_000010,36.02673672053005,-120.20892159556627,wood,82253.79915877641,1976,822.54,0.01,residential
PROP_000011,35.668591109046616,-119.65213635683803,wood,328903.0744772128,1960,3289.03,0.01,residential
PROP_000012,38.17044244981871,-119.82085300119523,masonry,303225.9597590028,1947,3032.26,0.01,residential
PROP_000013,36.89739304036299,-120.17620487627481,wood,171583.37139516175,1918,1715.83,0.01,residential
PROP_000014,37.70242725971873,-118.83982893505159,masonry,401030.5811396068,2011,4010.31,0.01,residential
PROP_000015,35.99536389472299,-120.54040180028612,wood,236571.90382725323,1978,2365.72,0.01,residential
PROP_000016,35.022574248031496,-121.00374059650204,wood,81843.65252442079,1938,818.44,0.01,residential
PROP_000017,36.49563154157126,-119.60133662953648,wood,218600.38747789865,1950,2186.0,0.01,residential
PROP_000018,34.28717765246879,-119.13117882833785,wood,75575.99001549136,1987,755.76,0.01,residential
PROP_000019,37.72434027396662,-121.38728952816821,masonry,328653.8147790631,1987,3286.54,0.01,residential
PROP_000020,36.84248979604929,-120.2410284724165,wood,156382.35346360045,1955,1563.82,0.01,residential
PROP_000021,37.41139483038418,-119.00103446887549,masonry,140380.2525269145,1936,1403.8,0.01,residential
PROP_000022,35.595366856584405,-119.40106786701597,wood,94396.22524067569,1979,943.96,0.01,residential
PROP_000023,38.36814110977706,-118.72293839380664,rc,432800.89348398236,1979,4328.01,0.01,residential
PROP_000024,38.01904504594989,-120.01204132752773,masonry,143828.4306430463,1972,1438.28,0.01,residential
PROP_000025,37.50272573683193,-119.65201198735677,masonry,115536.0339188964,1908,1155.36,0.01,residential
PROP_000026,34.875874185333856,-120.6530552128138,wood,122797.6502339499,1957,1227.98,0.01,residential
PROP_000027,36.10024451677165,-118.84690032093522,wood,249159.20495029495,1974,2491.59,0.01,residential
PROP_000028,34.19711694604253,-120.4742606320417,wood,218022.8715186692,2014,2180.23,0.01,residential
PROP_000029,34.694302714303966,-119.43217000447744,wood,226428.8596810631,1963,2264.29,0.01,residential
PROP_000030,37.073720289591044,-120.37120742846658,wood,229729.26879816168,1941,2297.29,0.01,residential
PROP_000031,37.351429701585175,-119.9269069958236,wood,902855.7557343545,1967,9028.56,0.01,residential
PROP_000032,38.35379379595395,-119.48460890193968,rc,117579.26570767495,1921,1175.79,0.01,residential
PROP_000033,35.46621411162168,-120.07498437509621,wood,108034.49105512,1910,1080.34,0.01,residential
PROP_000034,35.66706867715691,-118.96015828465337,wood,84878.9851904487,1982,848.79,0.01,residential
PROP_000035,36.113001150741134,-120.32595723380213,wood,266407.81107227516,2019,2664.08,0.01,residential
PROP_000036,34.85262111587929,-119.6881989651987,wood,401586.34053803206,2002,4015.86,0.01,residential
PROP_000037,34.58464677400962,-120.54138518675985,wood,148574.53550197312,1970,1485.75,0.01,residential
PROP_000038,36.1406721680167,-120.35716132895317,wood,83106.21923614641,1904,831.06,0.01,residential
PROP_000039,35.021092070728976,-120.26785969694606,wood,84154.95050734331,2019,841.55,0.01,residential
PROP_000040,37.0141629760713,-121.1477403487256,wood,273887.91443149315,1954,2738.88,0.01,residential
PROP_000041,35.96718363492549,-121.24317369863478,wood,294962.44937415235,1935,2949.62,0.01,residential
PROP_000042,37.747051882260266,-119.63102821518908,masonry,251330.33150689915,2007,2513.3,0.01,residential
PROP_000043,37.15119295901012,-119.66455033263945,wood,95567.89670987066,1990,955.68,0.01,residential
PROP_000044,35.40564988621919,-119.64385280021173,wood,195972.3895121065,1990,1959.72,0.01,residential
PROP_000045,37.745169106278404,-121.44465395304046,masonry,178679.44106241182,1933,1786.79,0.01,residential
PROP_000046,37.621439608735606,-120.58566884051902,masonry,193871.50580382303,2020,1938.72,0.01,residential
PROP_000047,35.74365270563578,-120.94613242767424,wood,326812.86976504413,1954,3268.13,0.01,residential
PROP_000048,35.297476467686096,-119.32117601687676,wood,194634.05608925348,1964,1946.34,0.01,residential
PROP_000049,37.07122976788739,-119.09023487609083,wood,280164.1192053465,1990,2801.64,0.01,residential
PROP_000050,34.62888617624189,-120.80929494376679,wood,171796.0429862766,1979,1717.96,0.01,residential
PROP_000051,34.89958691113799,-119.63002235522563,wood,205108.7322961366,1920,2051.09,0.01,residential
PROP_000052,34.033130213879524,-121.13778415031683,wood,269690.57995966467,1936,2696.91,0.01,residential
PROP_000053,37.54115969875962,-120.7295729283152,masonry,50730.132585804764,1943,507.3,0.01,residential
PROP_000054,36.99182885466414,-121.11176741054642,wood,126028.45917705169,2014,1260.28,0.01,residential
PROP_000055,37.173244203818506,-120.70614185352215,wood,111714.50982382742,1986,1117.15,0.01,residential
PROP_000056,37.513280639598854,-119.61073766742203,masonry,97625.86244876804,1944,976.26,0.01,residential
PROP_000057,36.065120989922534,-118.9510846514813,wood,130598.91644165569,1988,1305.99,0.01,residential
PROP_000058,36.559335381788024,-120.93293725781228,wood,538182.5258513872,1989,5381.83,0.01,residential
PROP_000059,34.629086491574455,-119.98217870213799,wood,81416.65251714214,1947,814.17,0.01,residential
PROP_000060,34.51538533091188,-119.5361049165184,wood,353140.99791021185,1948,3531.41,0.01,residential
PROP_000061,37.007813328057125,-118.83181708824041,wood,42349.17344732614,2008,423.49,0.01,residential
PROP_000062,36.11993292764409,-119.79183064791592,wood,124503.85720974796,1967,1245.04,0.01,residential
PROP_000063,36.54356247916535,-120.78570059312334,wood,185387.30423716697,1918,1853.87,0.01,residential
PROP_000064,37.442494858372115,-119.74866116064098,masonry,260140.6863724109,1987,2601.41,0.01,residential
PROP_000065,36.85623244000266,-120.60262474730156,wood,287500.89832814154,1971,2875.01,0.01,residential
PROP_000066,36.491107302960984,-118.76684050606322,wood,307022.95266629447,1961,3070.23,0.01,residential
PROP_000067,36.51643222335436,-120.38090682154181,wood,123132.94966549694,1987,1231.33,0.01,residential
PROP_000068,35.36777544128176,-119.58080238186916,wood,112433.65191214083,2009,1124.34,0.01,residential
PROP_000069,34.13868025555573,-121.43496276942908,wood,323314.46518336085,1939,3233.14,0.01,residential
PROP_000070,35.96522825154563,-120.37982795082269,wood,139658.65420008343,1950,1396.59,0.01,residential
PROP_000071,34.965631027687884,-119.04969868269697,wood,58656.33965970965,1922,586.56,0.01,residential
PROP_000072,35.838378896760865,-119.79136315558691,wood,65733.91154695963,1978,657.34,0.01,residential
PROP_000073,37.840313829706744,-120.25695991809127,masonry,77997.97713733562,1948,779.98,0.01,residential
PROP_000074,35.052727686394036,-118.87937500157997,wood,242250.74261609037,1941,2422.51,0.01,residential
PROP_000075,34.2623623376008,-119.10884374678776,wood,182396.94158513853,1984,1823.97,0.01,residential
PROP_000076,35.266227514098986,-120.59779611329577,wood,282769.7618833099,1949,2827.7,0.01,residential
PROP_000077,35.321171909950074,-119.97526447428424,wood,115635.45391097001,1956,1156.35,0.01,residential
PROP_000078,36.97862431627103,-120.12849208294111,wood,184763.47136202775,1953,1847.63,0.01,residential
PROP_000079,36.506644685535754,-119.7298329996784,wood,268464.0562282848,1931,2684.64,0.01,residential
PROP_000080,37.527541940978864,-120.56448845251549,masonry,127073.73254866962,1915,1270.74,0.01,residential
PROP_000081,36.989410931473245,-120.81622599785551,wood,234549.09142292108,2000,2345.49,0.01,residential
PROP_000082,35.82874087648032,-118.94451886128451,wood,95842.28425836416,1911,958.42,0.01,residential
PROP_000083,37.66309173099715,-118.91315140140418,masonry,121729.53332998628,1939,1217.3,0.01,residential
PROP_000084,34.751378139584666,-119.13869591986646,wood,119923.54393118588,1980,1199.24,0.01,residential
PROP_000085,34.10220432910237,-118.76102759385923,wood,62525.40815096107,1915,625.25,0.01,residential
PROP_000086,34.405215373490385,-119.41402372781687,wood,240284.27598028103,1979,2402.84,0.01,residential
PROP_000087,37.250617077684026,-119.35893176002641,wood,111801.26202058063,1988,1118.01,0.01,residential
PROP_000088,36.07844753613124,-119.3647477425046,wood,164389.73080807657,1980,1643.9,0.01,residential
PROP_000089,34.72572300565121,-120.15429863336155,wood,239090.4777161041,1936,2390.9,0.01,residential
PROP_000090,36.254701487965136,-120.22193385536004,wood,232634.75809748084,1902,2326.35,0.01,residential
PROP_000091,34.685404462209256,-120.82736642678279,wood,277148.3183504386,2007,2771.48,0.01,residential
PROP_000092,37.13344168784981,-119.69450625579398,wood,150423.75332848154,1939,1504.24,0.01,residential
PROP_000093,36.00770324008314,-120.68990361891346,wood,116001.84212666305,1997,1160.02,0.01,residential
PROP_000094,35.71459551743417,-120.77813645283341,wood,152699.22735036237,1923,1526.99,0.01,residential
PROP_000095,35.35680440116545,-119.85930815253104,wood,42198.183447658776,1919,421.98,0.01,residential
PROP_000096,36.836271669035,-120.35204931296988,wood,51139.37472610685,1994,511.39,0.01,residential
PROP_000097,35.62815674749026,-120.88720149537502,wood,56491.20888747704,2013,564.91,0.01,residential
PROP_000098,34.39442463692245,-119.21504315309207,wood,73291.69191909969,2004,732.92,0.01,residential
PROP_000099,34.53102655954232,-119.09040422597575,wood,224093.6628978608,1990,2240.94,0.01,residential
PROP_000100,38.328539490472814,-121.03044134490221,rc,78874.77566944197,1929,788.75,0.01,residential
PROP_000101,38.088613108184234,-121.47898030816,masonry,120267.04890673078,2010,1202.67,0.01,residential
PROP_000102,37.14868210214837,-120.55883608811776,wood,460184.4370563942,1980,4601.84,0.01,residential
PROP_000103,35.19641482656784,-119.26696966009389,wood,122392.55513509942,1920,1223.93,0.01,residential
PROP_000104,38.361293698064756,-119.1503131745439,rc,293611.4151113269,1915,2936.11,0.01,residential
PROP_000105,37.504379067846074,-121.11267860367506,masonry,77119.06891331624,2005,771.19,0.01,residential
PROP_000106,37.22600585121548,-119.33185947668746,wood,138088.48491610895,1933,1380.88,0.01,residential
PROP_000107,36.02212675964705,-121.1760283315336,wood,76113.60882675173,1992,761.14,0.01,residential
PROP_000108,35.225087028303214,-120.40782474756172,wood,124091.38379870131,1916,1240.91,0.01,residential
PROP_000109,34.433759329690744,-118.70389335796663,wood,318776.8190036129,1933,3187.77,0.01,residential
PROP_000110,38.061710784447286,-120.96074569495346,masonry,40869.67651064453,1934,408.7,0.01,residential
PROP_000111,36.05099330425125,-121.06890196878264,wood,230392.32942804895,1934,2303.92,0.01,residential
PROP_000112,34.91063514157854,-120.31615906886898,wood,196848.2648721291,1981,1968.48,0.01,residential
PROP_000113,35.37680480867794,-119.76492812728439,wood,101182.39269211837,2010,1011.82,0.01,residential
PROP_000114,36.60648806023853,-118.8878778092429,wood,51182.53893774163,2010,511.83,0.01,residential
PROP_000115,34.795477523226545,-118.7537007925075,wood,172422.58052723648,1989,1724.23,0.01,residential
PROP_000116,37.854764278415686,-121.30500621754409,masonry,106553.85667072088,1924,1065.54,0.01,residential
PROP_000117,37.413337884258446,-121.11360695142587,masonry,196053.1292502455,2016,1960.53,0.01,residential
PROP_000118,37.23758330177922,-119.28593367309122,wood,165625.03986530134,1965,1656.25,0.01,residential
PROP_000119,35.944418678987965,-120.74222997364159,wood,586203.9895722483,1966,5862.04,0.01,residential
PROP_000120,36.822889783160996,-119.02242263338219,wood,134391.90814733692,1984,1343.92,0.01,residential
PROP_000121,36.62844086010731,-119.64233087975856,wood,71768.57649050142,1993,717.69,0.01,residential
PROP_000122,36.92430970699669,-121.18683455333411,wood,187854.03073373126,2015,1878.54,0.01,residential
PROP_000123,34.3799994451295,-119.16891800221278,wood,194074.492669891,1970,1940.74,0.01,residential
PROP_000124,35.87113330976774,-121.00620213597739,wood,482796.2785855869,1973,4827.96,0.01,residential
PROP_000125,34.187263782378515,-120.31421289489697,wood,317454.2513611096,1990,3174.54,0.01,residential
PROP_000126,36.222958686600336,-119.95388220003387,wood,216532.69849276694,1930,2165.33,0.01,residential
PROP_000127,35.484375455497535,-120.09785478257523,wood,524731.6735799055,1937,5247.32,0.01,residential
PROP_000128,34.65035884989721,-119.57874383627758,wood,62880.38542028237,1975,628.8,0.01,residential
PROP_000129,34.46531335475148,-119.67247714236609,wood,97557.65092692807,1907,975.58,0.01,residential
PROP_000130,36.644400574799704,-118.72228238452145,wood,77554.73676456312,1938,775.55,0.01,residential
PROP_000131,34.76766835841599,-118.70161865417228,wood,119151.62938125436,1986,1191.52,0.01,residential
PROP_000132,38.16304053269559,-120.05391367262021,masonry,54103.333588914546,2018,541.03,0.01,residential
PROP_000133,36.61477512865178,-121.23344255650959,wood,270525.2605188586,1962,2705.25,0.01,residential
PROP_000134,35.560914120406764,-119.46203876288759,wood,136246.6114767725,1948,1362.47,0.01,residential
PROP_000135,36.65911971166638,-118.76534058099355,wood,50179.15419700721,1953,501.79,0.01,residential
PROP_000136,34.10261741963364,-120.60868611463874,wood,72224.65402137721,1982,722.25,0.01,residential
PROP_000137,38.3135164595865,-120.2086151196548,rc,209150.85774469297,1965,2091.51,0.01,residential
PROP_000138,36.17036546624305,-120.31062461051673,wood,318220.9571606305,1902,3182.21,0.01,residential
PROP_000139,37.52230852262629,-121.3560263672406,masonry,804024.2531804293,1965,8040.24,0.01,residential
PROP_000140,34.37228499965097,-119.61765959257436,wood,1674608.5137774565,1948,16746.09,0.01,residential
PROP_000141,36.18996248877172,-120.51065445380829,wood,226732.8081591569,1984,2267.33,0.01,residential
PROP_000142,36.20818147459534,-119.2951011510318,wood,73745.07586011248,2005,737.45,0.01,residential
PROP_000143,38.220219047387424,-119.17006378921045,masonry,29565.486855594594,2016,295.65,0.01,residential
PROP_000144,36.57277623569234,-119.20055379752604,wood,201625.87796740056,1973,2016.26,0.01,residential
PROP_000145,36.13070230475629,-120.33333520548834,wood,84935.47450754789,1943,849.35,0.01,residential
PROP_000146,35.20139048391352,-120.59967208972549,wood,116741.12924297701,1953,1167.41,0.01,residential
PROP_000147,35.49206048804149,-119.40330181693224,wood,99740.04803998613,1921,997.4,0.01,residential
PROP_000148,36.34302581112192,-119.25610958524038,wood,145417.95027051674,2013,1454.18,0.01,residential
PROP_000149,35.97510157137271,-120.12447915010418,wood,381850.39877135074,2002,3818.5,0.01,residential
PROP_000150,34.09725435946149,-118.99951314529835,wood,184543.19862701133,2003,1845.43,0.01,residential
PROP_000151,37.71831365887461,-121.09705565098004,masonry,143356.83208870149,1939,1433.57,0.01,residential
PROP_000152,38.03272347327895,-119.03860741695492,masonry,71074.00930812673,1938,710.74,0.01,residential
PROP_000153,34.63112090049375,-121.23093334767873,wood,42627.448009154396,2003,426.27,0.01,residential
PROP_000154,36.49316264592572,-121.07012853824708,wood,110299.3897669095,1965,1102.99,0.01,residential
PROP_000155,34.4885908351095,-120.00524796283291,wood,155900.6086814766,1985,1559.01,0.01,residential
PROP_000156,37.02508041867915,-121.31094825547524,wood,669538.488485767,1959,6695.38,0.01,residential
PROP_000157,35.26555202727554,-121.3521401160797,wood,180632.45623277957,1953,1806.32,0.01,residential
PROP_000158,36.96740185611356,-121.49854751633602,wood,357250.18327870447,1976,3572.5,0.01,residential
PROP_000159,37.27147576429097,-120.27831335285606,wood,109159.29552144672,1998,1091.59,0.01,residential
PROP_000160,37.45891371362946,-119.33105313238175,masonry,63072.80587066392,1940,630.73,0.01,residential
PROP_000161,34.484834256801534,-121.40245261921623,wood,75200.00603676832,1997,752.0,0.01,residential
PROP_000162,38.12205330311924,-119.67367870189561,masonry,91109.66304518394,1929,911.1,0.01,residential
PROP_000163,35.03596295902696,-119.19524351123468,wood,893387.5800823934,1948,8933.88,0.01,residential
PROP_000164,34.16835650279281,-121.02959762398196,wood,84363.54505274809,2010,843.64,0.01,residential
PROP_000165,36.496836112261676,-121.08878154250007,wood,318313.28921293194,2015,3183.13,0.01,residential
PROP_000166,35.66915027738097,-119.0897572738625,wood,79035.96314367789,2011,790.36,0.01,residential
PROP_000167,37.73405384409586,-119.19525109213974,masonry,342922.0395250639,1938,3429.22,0.01,residential
PROP_000168,37.63713162428936,-119.99096305446028,masonry,221451.9185477703,2002,2214.52,0.01,residential
PROP_000169,35.42712501770222,-119.20624033797685,wood,143586.03504449857,2013,1435.86,0.01,residential
PROP_000170,38.28804727781385,-121.24028298321142,rc,157532.95903848766,2018,1575.33,0.01,residential
PROP_000171,35.309130271630536,-120.39545174977148,wood,96391.16660351568,1902,963.91,0.01,residential
PROP_000172,36.317757081542716,-119.43416684290216,wood,232549.35503124175,1990,2325.49,0.01,residential
PROP_000173,35.15184290755421,-120.7791345138929,wood,113098.36612658163,2020,1130.98,0.01,residential
