exposure_id,max_pga_g,latitude,longitude,building_type,replacement_value,year_built,deductible,deductible_pct,occupancy
PROP_000001,0.006160620377630778,37.48280221850183,-121.32622330168756,masonry,207684.1435284984,2006,2076.84,0.01,residential
PROP_000002,0.00798551178653868,35.97495297888423,-120.21686628369775,wood,70828.2148415877,1907,708.28,0.01,residential
PROP_000003,0.003856205293419782,37.86369063960122,-121.13871583989028,masonry,296665.62940461584,1948,2966.66,0.01,residential
PROP_000004,0.004741767944332094,37.138156130767136,-121.0734852115588,wood,345397.6956433526,1955,3453.98,0.01,residential
PROP_000005,0.0036825746452834648,34.423798065494424,-119.72960812351542,wood,34172.34086075089,1996,341.72,0.01,residential
PROP_000006,0.0022530784300556217,38.3903005823654,-120.39980330360336,rc,57426.22701037592,1915,574.26,0.01,residential
PROP_000007,0.004068923722783742,37.42512865895659,-118.918813139566,masonry,180281.05387114835,1952,1802.81,0.01,residential
PROP_000008,0.0033845247073452742,37.53728937374629,-120.6063618150974,masonry,126374.61705935358,1918,1263.75,0.01,residential
PROP_000009,0.0069320909016344105,34.576511347039954,-119.46669564052507,wood,160581.85218181432,1995,1605.82,0.01,residential
PROP_000010,0.007771040891415456,36.02673672053005,-120.20892159556628,wood,82253.79915877641,1976,822.54,0.01,residential
PROP_000011,0.005912983674498435,35.668591109046616,-119.65213635683804,wood,328903.0744772128,1960,3289.03,0.01,residential
PROP_000012,0.004620837135204468,38.17044244981871,-119.82085300119525,masonry,303225.9597590028,1947,3032.26,0.01,residential
PROP_000013,0.003141568717966651,36.89739304036299,-120.1762048762748,wood,171583.37139516175,1918,1715.83,0.01,residential
PROP_000014,0.0025450315971081703,37.70242725971873,-118.8398289350516,masonry,401030.5811396068,2011,4010.31,0.01,residential
PROP_000015,0.005055217493645222,35.99536389472299,-120.54040180028612,wood,236571.90382725323,1978,2365.72,0.01,residential
PROP_000016,0.005852747655010422,35.022574248031496,-121.00374059650204,wood,81843.65252442079,1938,818.44,0.01,residential
PROP_000017,0.00831134042602902,36.49563154157126,-119.60133662953648,wood,218600.38747789865,1950,2186.0,0.01,residential
PROP_000018,0.0059573993601672705,34.28717765246879,-119.13117882833784,wood,75575.99001549136,1987,755.76,0.01,residential
PROP_000019,0.0043147279872128765,37.72434027396662,-121.3872895281682,masonry,328653.8147790631,1987,3286.54,0.01,residential
